epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1144.67,1.72105,1.38651,2.32775,0.90517,0.95684,0.97682,0.59516,1.36757,1.37389,2.10999,0.0015512,0.0015512,0.0015512
70,1161.53,1.69387,1.40299,2.36218,0.98091,0.6,0.79682,0.4442,1.40979,1.9477,2.30174,0.0015446,0.0015446,0.0015446
71,1179.69,1.72782,1.49695,2.3911,0.9765,1,0.995,0.57854,1.44653,1.37214,2.18822,0.001538,0.001538,0.001538
72,1196.59,1.6724,1.48356,2.34527,0.9765,1,0.995,0.57854,1.44653,1.37214,2.18822,0.0015314,0.0015314,0.0015314
73,1213.1,1.69699,1.43903,2.31158,0.88389,0.76402,0.86056,0.43649,1.64402,2.24578,2.37387,0.0015248,0.0015248,0.0015248
74,1230.24,1.67676,1.42276,2.31727,0.78777,0.74495,0.83044,0.43859,1.57419,1.94712,2.269,0.0015182,0.0015182,0.0015182
75,1247.14,1.65244,1.33835,2.24794,0.95762,0.8,0.90611,0.53469,1.48671,1.56183,2.12134,0.0015116,0.0015116,0.0015116
76,1263.78,1.60268,1.38066,2.24306,0.97695,0.8,0.9325,0.58088,1.38107,1.28627,2.02258,0.001505,0.001505,0.001505
77,1279.98,1.57029,1.26974,2.21887,0.9514,0.8,0.9309,0.57876,1.43205,1.67062,2.04233,0.0014984,0.0014984,0.0014984
78,1295.88,1.66786,1.36237,2.28229,0.69196,0.9,0.89756,0.56673,1.40939,2.18399,1.94183,0.0014918,0.0014918,0.0014918
79,1311.22,1.60573,1.48395,2.2089,0.70976,0.97941,0.91643,0.5768,1.35338,2.07512,1.88011,0.0014852,0.0014852,0.0014852
80,1327,1.54264,1.29876,2.22021,0.70976,0.97941,0.91643,0.5768,1.35338,2.07512,1.88011,0.0014786,0.0014786,0.0014786
81,1342.89,1.51144,1.27542,2.22889,0.79053,0.7,0.86402,0.59569,1.18626,1.60488,1.81666,0.001472,0.001472,0.001472
82,1359.16,1.58475,1.388,2.20291,0.81074,0.7,0.84882,0.58292,1.17412,1.35044,1.82658,0.0014654,0.0014654,0.0014654
83,1376.65,1.56797,1.31443,2.16542,0.7458,0.88152,0.89763,0.59634,1.34434,1.31757,1.91323,0.0014588,0.0014588,0.0014588
84,1392.85,1.69295,1.32717,2.28062,0.90672,1,0.97682,0.60877,1.37952,1.20494,1.9611,0.0014522,0.0014522,0.0014522
85,1409.61,1.65311,1.28637,2.23887,0.75288,1,0.92,0.54558,1.43894,1.7108,2.08877,0.0014456,0.0014456,0.0014456
86,1426.15,1.6539,1.34485,2.25395,0.66109,0.97657,0.87417,0.52937,1.42343,2.05604,2.10463,0.001439,0.001439,0.001439
87,1443.46,1.60802,1.2864,2.19448,0.61937,1,0.83662,0.48397,1.36462,1.80961,1.99812,0.0014324,0.0014324,0.0014324
88,1460.74,1.5342,1.18414,2.17348,0.61937,1,0.83662,0.48397,1.36462,1.80961,1.99812,0.0014258,0.0014258,0.0014258
89,1477.68,1.50564,1.31212,2.09005,0.61596,1,0.8281,0.47882,1.37689,1.35367,1.98212,0.0014192,0.0014192,0.0014192
